system:index,Landsat_NDVI,S2_NDVI,year,.geo
0,0.5415837258183728,,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,0.5506363032762339,0.4974012806757252,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,0.5550728791258974,0.5009509353397497,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,0.5704980621394512,0.5061742528828964,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,0.5611395112324465,0.49260881844297405,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,0.589788882431559,0.5247201235065608,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,0.5675358406727977,0.5122463988677078,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,0.5603166061225576,0.49929748493719855,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,0.5418687448557074,0.5088400599954921,2025.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,0.6065291697722535,0.49252096404810963,2026.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
