system:index,MNDWI,NBR,NDVI,year,.geo
0,-0.2621223336516204,0.4945813524816364,0.5249785220063659,2000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,-0.2219519584028459,0.5167178316983009,0.5189612986353613,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,-0.20069087540405206,0.5188480172160802,0.5135209718815448,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,-0.2451196881212343,0.5036317724564663,0.5193728347759972,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,-0.21959155047343673,0.5259584079699866,0.517646473672462,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,-0.20792454611261407,0.5042991312679584,0.4948003921414364,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,-0.19507678406701964,0.5085892002556996,0.501699261336849,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,-0.1751278851060574,0.5277092595437476,0.494150155035709,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,-0.20991273154977902,0.5059214370679509,0.5027723059911208,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,-0.21441135125979133,0.5181605754962652,0.5141349335292756,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,-0.20101840063599147,0.5237978359906429,0.5123699866723836,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,-0.20400690411250638,0.5098332184701558,0.5215836315798158,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,-0.23553791120396178,0.48485201040490994,0.5048322081032113,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,-0.28392927066009005,0.45641517368755985,0.5453051501306093,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,-0.27428824453098377,0.3063799051143593,0.542537485924705,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,-0.2647527041669611,0.3912165806543703,0.5395775723132594,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,-0.29429399516594346,0.4098816221125476,0.5498529395618692,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,-0.2783233623427151,0.45839123961250117,0.5415837258183728,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,-0.27041874200854854,0.30029176830789334,0.5506363032762339,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,-0.28466644847721284,0.43178340846946567,0.5550728791258974,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,-0.29736730759112356,0.42389280472925106,0.5704980621394512,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,-0.2535433552370611,0.36835303377441664,0.5611395112324465,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,-0.3625440459089368,0.28448259822444194,0.589788882431559,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,-0.31879098706404935,0.249323995495095,0.5675358406727977,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,-0.31648065500086375,0.13258506909894366,0.5603166061225576,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,-0.30328723716306544,0.1310150696672195,0.5418687448557074,2025.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,-0.3776489537763137,0.14584863895029948,0.6065291697722535,2026.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
