StationId,StationName,CountyName,TownName,StationLatitude,StationLongitude,StationAltitude,DateTime,Past1hr,Past10Min,Past3hr,Past6hr,Past12hr,Past24hr,NOW,Past2days,Past3days
C0T9E0,大坑,花蓮縣,壽豐鄉,23.880628,121.581981,415,2025/7/29 00:00,0,0,0,5.5,12,13,13,13,13.5
C0T9G0,鳳林山,花蓮縣,鳳林鎮,23.735269,121.420131,605,2025/7/29 00:00,0,0,0,8,48.5,55,55,55,56.5
C1S820,金峰,臺東縣,金峰鄉,22.590969,120.933236,177,2025/7/29 00:00,0.5,0,0.5,0.5,7.5,32.5,32.5,32.5,33.5
C0S790,金崙,臺東縣,太麻里鄉,22.538122,120.966875,236,2025/7/29 00:00,0,0,0,0,4,10,10,10,10.5
C0S840,南田,臺東縣,達仁鄉,22.279725,120.889208,22,2025/7/29 00:00,5.5,0.5,7.5,7.5,8,8,8,8,8.5
C1S800,華源,臺東縣,太麻里鄉,22.657883,121.02325,80,2025/7/29 00:00,0,0,0,0,3.5,13,13,13,14
C0U750,龜山島,宜蘭縣,頭城鎮,24.841667,121.953133,398,2025/7/29 00:00,0,0,0.5,0.5,0.5,0.5,0.5,41.5,41.5
C1M610,石磐龍,嘉義縣,竹崎鄉,23.496606,120.663506,1083,2025/7/29 00:00,0,0,0,0,43,63.5,63.5,81.5,183.5
C1M600,頭凍,嘉義縣,番路鄉,23.406364,120.603339,986,2025/7/29 00:00,0,0,0,0.5,81,129,129,135.5,215.5
C1I340,新興橋,南投縣,信義鄉,23.563333,120.868728,897,2025/7/29 00:00,0,0,0.5,0.5,0.5,16,16,17.5,40
C1I330,楓樹林,南投縣,仁愛鄉,23.986803,121.076117,1266,2025/7/29 00:00,0,0,0,2,5,47,47,50,105.5
C1I320,奧萬大,南投縣,仁愛鄉,23.952956,121.178556,1275,2025/7/29 00:00,0,0,0,7,16.5,55.5,55.5,57,88.5
C1I310,西巒,南投縣,信義鄉,23.754486,120.883956,1033,2025/7/29 00:00,0,0,0,0,16.5,28,28,56,118
C1I290,豐丘,南投縣,信義鄉,23.668178,120.887417,1151,2025/7/29 00:00,0,0,0,0,10.5,26,26,30,53.5
C1I280,埔中,南投縣,名間鄉,23.820778,120.642594,439,2025/7/29 00:00,0,0,0,0,2.5,48.5,48.5,63.5,131
C1I260,北坑,南投縣,埔里鎮,23.9246,121.006903,601,2025/7/29 00:00,0,0,0,0,0.5,19,19,25,75
C1I250,鯉潭,南投縣,埔里鎮,23.961922,120.991131,732,2025/7/29 00:00,0,0,0,0,0,24.5,24.5,29.5,87
C1I240,外大坪,南投縣,埔里鎮,23.958697,120.917931,725,2025/7/29 00:00,0,0,0,0,0,61,61,77,147
C1I220,樟湖,南投縣,國姓鄉,23.905333,120.846983,1098,2025/7/29 00:00,0,0,0,0,0,50.5,50.5,69,167
