StationId,StationName,CountyName,TownName,StationLatitude,StationLongitude,StationAltitude,DateTime,Past1hr,Past10Min,Past3hr,Past6hr,Past12hr,Past24hr,NOW,Past2days,Past3days
81D770,秀巒國小,新竹縣,尖石鄉,24.618333,121.285833,850,2025/11/12 00:00,0,0,0,0.5,0.5,6,6,7.5,7.5
81C790,華陵,桃園市,復興區,24.663333,121.397222,1050,2025/11/12 00:00,0,0,0.5,1.5,3.5,11,11,16,16
C0W220,北竿,連江縣,北竿鄉,26.220358,119.974881,40,2025/11/12 00:00,0,0,0,0,0,0,0,0,0
C0W200,湖西,澎湖縣,湖西鄉,23.596314,119.67275,18,2025/11/12 00:00,0,0,0,0,0,1,1,1.5,1.5
C0W190,望安,澎湖縣,望安鄉,23.380564,119.494075,52,2025/11/12 00:00,0,0,0,0,0,2,2,2,2
C0W180,七美,澎湖縣,七美鄉,23.219333,119.444892,29,2025/11/12 00:00,1.5,0.5,3.5,7,7.5,9,9,11,11
C2W230,畜試所澎湖,澎湖縣,西嶼鄉,23.628342,119.513206,35,2025/11/12 00:00,0,0,0.5,0.5,1,3,3,3,3
81T760,富南部落,花蓮縣,富里鄉,23.133056,121.246667,430,2025/11/12 00:00,0,0,1.5,6,6,77,77,138.5,138.5
81T770,大豐,花蓮縣,光復鄉,23.607222,121.376111,230,2025/11/12 00:00,0,0,3.5,3.5,4.5,105,105,168.5,168.5
81T990,高山部落,花蓮縣,豐濱鄉,23.691944,121.549444,20,2025/11/12 00:00,6,0,6,6,6.5,123.5,123.5,222,222
81AJ20,東山,新北市,汐止區,25.054444,121.696389,290,2025/11/12 00:00,12,1,30.5,51.5,114.5,160,160,280,283
81AJ30,華梵大學,新北市,石碇區,24.982222,121.690278,520,2025/11/12 00:00,6.5,1,22,37,62,95,95,146.5,148
C0D700,關西,新竹縣,關西鎮,24.797653,121.173239,155,2025/11/12 00:00,0,0,0,1,1,8.5,8.5,10,10
C0UB10,蘇澳,宜蘭縣,蘇澳鎮,24.596944,121.857089,28,2025/11/12 00:00,0,0,20.5,349,512.5,648.5,648.5,772,772.5
C0R930,萬丹,屏東縣,萬丹鄉,22.588475,120.485081,30,2025/11/12 00:00,0,0,0,0,0,4,4,7,7
C0FA50,霧峰,臺中市,霧峰區,24.041897,120.699472,58,2025/11/12 00:00,0,0,0,0,0,0.5,0.5,0.5,0.5
C0B060,暖暖,基隆市,暖暖區,25.095742,121.7403,83,2025/11/12 00:00,10.5,2.5,36,76,138,183.5,183.5,272.5,297.5
C0AJ80,板橋,新北市,板橋區,25.0111,121.448716,38,2025/11/12 00:00,3,0,4,4,5,15,15,18.5,18.5
C0M880,好美里,嘉義縣,布袋鎮,23.336427,120.138033,27,2025/11/12 00:00,0,0,0,0,0,1,1,2,2
C0K600,箔子寮,雲林縣,口湖鄉,23.619744,120.140036,14,2025/11/12 00:00,0,0,0,0,0,0,0,0.5,0.5
C0G970,三豐,彰化縣,大城鄉,23.881975,120.289544,19,2025/11/12 00:00,0,0,0,0,0,0,0,0,0
C0G960,福寶,彰化縣,福興鄉,24.044302,120.381361,5,2025/11/12 00:00,0,0,0,0,0,0,0,0,0
C0FA40,臺中電廠,臺中市,龍井區,24.214641,120.490744,25,2025/11/12 00:00,0,0,0,0,0,0,0,0,0
C0G950,防潮門,彰化縣,伸港鄉,24.183494,120.48713,23,2025/11/12 00:00,0,0,0,0,0,0,0,0,0
C0U880,北關,宜蘭縣,頭城鎮,24.907222,121.873428,2,2025/11/12 00:00,15,3,35.5,57,148.5,213.5,213.5,299,299.5
