asset_name,asset_type,terrain_risk,priority_level,covered_by_original_ARIA,barrier_lake_impact,landslide_impact,debris_flow_impact
Guangfu_Station,critical_infra,N/A,2.0,0,0,1,0
Guangfu_Elementary,shelter,N/A,1.0,0,0,1,0
Guangfu_Township_Office,shelter,N/A,1.0,0,0,1,0
Mataian_Hwy9_Bridge,bridge,N/A,1.0,0,0,1,0
Foxu_Debris_Zone,critical_infra,N/A,3.0,0,0,1,0
和平國小,shelter,High,,1,0,1,0
豐南社區活動中心,shelter,Critical,,1,0,1,0
玉寶宮,shelter,High,,1,0,1,0
永豐社區活動中心,shelter,Critical,,1,0,1,0
富里老人文康中心,shelter,Critical,,1,0,1,0
石平社區活動中心,shelter,Critical,,1,0,1,0
富里鄉公所2樓,shelter,High,,1,0,1,0
石牌社區活動中心,shelter,High,,1,0,1,0
明里社區活動中心,shelter,High,,1,0,1,0
羅山縱管處,shelter,Critical,,1,0,1,0
古風國小,shelter,Critical,,1,0,1,0
崙天社區活動中心,shelter,Critical,,1,0,1,0
新興竹田聯合社區活動中心,shelter,Low,,1,0,0,0
萬寧社區活動中心,shelter,Low,,1,0,1,1
東里社區活動中心,shelter,Low,,1,0,0,1
長良社區活動中心,shelter,Critical,,1,0,0,0
清水社區活動中心,shelter,Critical,,1,0,1,0
吳江社區活動中心,shelter,Critical,,1,0,0,0
卓樂社區活動中心,shelter,Critical,,1,0,1,0
樂合社區活動中心,shelter,Critical,,1,0,0,0
源城社區活動中心,shelter,Critical,,1,0,0,1
玉里慈惠堂,shelter,Low,,1,0,0,0
中正堂,shelter,Low,,1,0,0,0
東豐社區活動中心,shelter,Critical,,1,0,0,0
卓溪多功能活動中心,shelter,Critical,,1,0,0,1
大禹社區活動中心,shelter,High,,1,0,0,0
觀音社區活動中心,shelter,Critical,,1,0,0,0
太平國小,shelter,Critical,,1,0,0,0
太平社區活動中心,shelter,Critical,,1,0,1,1
松浦社區活動中心,shelter,Critical,,1,0,0,0
三民社區活動中心,shelter,Critical,,1,0,1,0
古楓社區活動中心,shelter,Critical,,1,0,0,0
立山社區活動中心,shelter,Critical,,1,0,0,0
崙山國小,shelter,High,,1,0,0,0
崙山社區活動中心,shelter,High,,1,0,1,0
春日社區活動中心,shelter,High,,1,0,1,0
舞鶴社區活動中心,shelter,High,,1,0,1,0
靜浦國小大禮堂,shelter,Critical,,1,0,0,0
德武里原住民多功能活動中心,shelter,Critical,,1,0,1,0
港口活動中心,shelter,High,,1,0,0,0
瑞穗青蓮寺,shelter,High,,1,0,1,0
花蓮縣鶴岡國民小學,shelter,High,,1,0,1,0
瑞良社區活動中心,shelter,High,,1,0,0,0
花蓮縣瑞穗鄉瑞美國民小學,shelter,High,,1,0,0,0
瑞美社區活動中心,shelter,High,,1,0,1,0
奇美社區活動中心,shelter,Critical,,1,0,0,0
紅葉社區活動中心,shelter,High,,1,0,0,0
花蓮縣立瑞穗國民中學,shelter,Low,,1,0,0,0
瑞祥社區活動中心,shelter,Critical,,1,0,0,0
瑞穗社區活動中心,shelter,Low,,1,0,0,0
豐裡活動中心,shelter,High,,1,0,0,1
鶴岡社區活動中心,shelter,Critical,,1,0,1,0
瑞北社區活動中心,shelter,High,,1,0,0,0
八里灣基督長老教會,shelter,Critical,,1,0,0,0
富民社區活動中心,shelter,Low,,1,0,1,0
馬遠社區活動中心,shelter,Critical,,1,0,0,0
馬遠國民小學,shelter,Critical,,1,0,0,0
富源社區活動中心,shelter,Low,,1,0,1,0
富源消防分隊,shelter,Low,,1,0,0,0
富興社區活動中心,shelter,Low,,1,0,0,0
光復自強外役監獄,shelter,High,,1,0,0,1
花東山琉璃禪寺,shelter,Critical,,1,0,0,1
豐濱國中禮堂,shelter,Critical,,1,0,0,0
大富國小,shelter,Low,,1,0,0,0
大興國小,shelter,High,,1,0,1,0
大興活動中心,shelter,Critical,,1,0,1,0
東興部落原住民多功能活動中心,shelter,High,,1,0,0,0
馬佛活動中心,shelter,Low,,1,0,0,0
砂荖活動中心,shelter,Critical,,1,0,0,0
新社國小二樓綜合教室,shelter,High,,1,0,0,0
光復鄉立托兒所,shelter,High,,1,0,0,0
西南活動中心,shelter,High,,1,0,0,0
太巴塱國小,shelter,High,,1,0,0,0
